epoch,accuracy,loss,sparse_categorical_crossentropy,val_accuracy,val_loss,val_sparse_categorical_crossentropy
0,0.46875,3.160592794418335,0.6850787401199341,0.42500001192092896,8.096185684204102,5.672773361206055
1,0.6187499761581421,3.0578582286834717,0.6682244539260864,0.3499999940395355,4.668863773345947,2.329097270965576
2,0.625,2.968778371810913,0.6613422632217407,0.4000000059604645,4.350115776062012,2.090559244155884
3,0.675000011920929,2.880411148071289,0.652130126953125,0.42500001192092896,2.8491604328155518,0.6673124432563782
4,0.699999988079071,2.7940056324005127,0.6424049139022827,0.4000000059604645,3.758314847946167,1.651476263999939
5,0.731249988079071,2.7086315155029297,0.6307487487792969,0.4000000059604645,4.630646228790283,2.5953052043914795
6,0.7562500238418579,2.627129077911377,0.6192552447319031,0.44999998807907104,2.6451213359832764,0.6777775287628174
7,0.7250000238418579,2.547757863998413,0.6066651344299316,0.42500001192092896,2.587745189666748,0.6853680610656738
8,0.731249988079071,2.471102476119995,0.5937467813491821,0.42500001192092896,2.5306143760681152,0.6901084184646606
9,0.762499988079071,2.3962137699127197,0.579460859298706,0.44999998807907104,2.4738311767578125,0.6920475363731384
10,0.78125,2.322371482849121,0.5630882978439331,0.42500001192092896,2.4294354915618896,0.7032278776168823
11,0.768750011920929,2.2471978664398193,0.542178750038147,0.42500001192092896,2.3822474479675293,0.7082850337028503
12,0.793749988079071,2.1725082397460938,0.5184078216552734,0.42500001192092896,2.359795570373535,0.7348203659057617
13,0.8125,2.0977070331573486,0.49128031730651855,0.44999998807907104,2.332348585128784,0.7529751658439636
14,0.8374999761581421,2.0228960514068604,0.46078968048095703,0.44999998807907104,2.345353603363037,0.808574378490448
15,0.8500000238418579,1.9509445428848267,0.4302821755409241,0.42500001192092896,2.372027635574341,0.8750172853469849
16,0.8687499761581421,1.8788738250732422,0.3969598412513733,0.42500001192092896,2.3787007331848145,0.918858528137207
17,0.893750011920929,1.8070716857910156,0.3613582253456116,0.44999998807907104,2.4548046588897705,1.0298343896865845
18,0.893750011920929,1.7440887689590454,0.3322985768318176,0.5,2.340261459350586,0.9475256204605103
19,0.90625,1.6935608386993408,0.31308045983314514,0.4749999940395355,2.438791275024414,1.0764045715332031
20,0.9125000238418579,1.66488516330719,0.3140375018119812,0.5,2.604902505874634,1.2708015441894531
